Task,N,Attempted task %,Average duration
Prepare and/or clean up meals,941,71.72,81.78
Do housework,827,63.08,82.25
Do laundry,591,45.18,70.87
Work on yard or house maintenance,265,20.26,86.77
Shop for groceries or other necessities,611,46.82,70.43
Provide transportation,365,27.91,84.40
Go with patient to an appointment,203,15.7,160.27
Pay medical bills,45,3.45,17.67
On the telephone with insurance company,85,6.5,52.33
Arrange appointments,395,30.18,32.40
On the phone with billing department,43,3.3,32.98
Help patient with dressing or bathing,376,28.75,37.30
Help patient with walking,333,25.42,35.43
Help with toileting/incontinence/diaper care,209,15.95,38.53
Help with moving in or from bed or chair,311,23.83,23.47
Help with problem symptoms or side effects,336,25.93,47.45
"Take care of a feeding machine, catheter",60,4.59,27.20
Hook up or unhooked an IV,11,0.84,20.45
Give oral medications ,479,36.54,12.85
Give medicine by injection,82,6.28,8.18
Give pain medication,352,26.93,12.80
Take care of wounds or bed sores,131,10.05,18.37
Sit with patient alone ,1113,85.26,187.23
Sit with patient and other family/friends,661,50.53,138.63
