Week,Measure,Mean,,,,,,
1,ADL,2.5177,,,,,,
2,ADL,2.57286,,,,,,
3,ADL,2.38764,,,,,,
4,ADL,2.45912,,,,,,
5,ADL,2.32624,,,,,,
6,ADL,2.43846,,,,,,
7,ADL,2.62185,,,,,,
8,ADL,2.45455,,,,,,
9,ADL,2.05208,,,,,,
10,ADL,2.30769,,,,,,
11,ADL,2.02299,,,,,,
1,IADL,3.99115,,,,,,
2,IADL,4.03015,,,,,,
3,IADL,3.97753,,,,,,
4,IADL,4.10692,,,,,,
5,IADL,3.84397,,,,,,
6,IADL,3.94615,,,,,,
7,IADL,3.80672,,,,,,
8,IADL,3.86364,,,,,,
9,IADL,3.625,,,,,,
10,IADL,3.8022,,,,,,
11,IADL,3.62069,,,,,,
1,Zarit,11.5068383,,,,,,
2,Zarit,11.9169,,,,,,
3,Zarit,11.5255,,,,,,
4,Zarit,11.4345,,,,,,
5,Zarit,11.9007,,,,,,
6,Zarit,11.8092,,,,,,
7,Zarit,11.5294,,,,,,
8,Zarit,12.2,,,,,,
9,Zarit,12.1496,,,,,,
10,Zarit,12.4358,,,,,,
11,Zarit,11.6844,,,,,,
1,CESD,8.43012,,,,,,
2,CESD,8.71022,,,,,,
3,CESD,8.83958,,,,,,
4,CESD,9.38225,,,,,,
5,CESD,9.33176,,,,,,
6,CESD,9.09924,,,,,,
7,CESD,9.62585,,,,,,
8,CESD,9.01515,,,,,,
9,CESD,8.83333,,,,,,
10,CESD,9.90659,,,,,,
11,CESD,9.31928,,,,,,
1,Health,1.76106,,,,,,
2,Health,1.8995,,,,,,
3,Health,1.81461,,,,,,
4,Health,1.97484,,,,,,
5,Health,1.9507,,,,,,
6,Health,2.03817,,,,,,
7,Health,1.9916,,,,,,
8,Health,2.01818,,,,,,
9,Health,1.94792,,,,,,
10,Health,2.02222,,,,,,
11,Health,1.94186,,,,,,
